Date,Open,High,Low,Close,Volume
2019-03-09,136.19,141.71,135.37,140.04,172797.25446211
2019-03-10,140.04,140.4,136.5,138.2,102267.33111797
2019-03-11,138.19868858,138.76,133.46,135.41228143,168750.16984593
2019-03-12,135.41,139.01,130.55,136.27,189902.04949047
2019-03-13,136.26386055,136.32,133.42,134.51,105011.12588162
2019-03-14,134.51,138.51,131.56,134.72,144525.75466461
2019-03-15,134.71,141.19,134.67899222,139.15154501,262276.6071077
2019-03-16,139.27,147.5,139.27,143.79,195718.24283274
2019-03-17,143.79168208,143.79168208,140.0,141.71,119257.71049178
2019-03-18,141.72,144.88,138.3,140.6,148601.34019785
2019-03-19,140.59,142.34,139.81,141.64,82455.76275512
2019-03-20,141.64,143.02,138.77,142.17,120367.52846823
2019-03-21,142.17,142.78,135.0,136.99,172146.28563456
2019-03-22,136.99,139.49,136.15,138.0,91039.82957107
2019-03-23,137.86,140.7,137.8,139.28,81479.88887832
2019-03-24,139.25,139.37,136.69,137.81,59308.27485209
2019-03-25,137.82,138.76,132.67124053,135.14,113838.39463610001
2019-03-26,135.14155752,136.26,134.91524661,135.51,33639.263509799996
